time,y,y_dot
3.099999999999999978e-01,4.310746093629826137e-02,2.623109943740716266e-01
3.200000000000000067e-01,4.576514113588137089e-02,2.692090085448488601e-01
3.300000000000000155e-01,4.849132383735159368e-02,2.760116001950422837e-01
3.400000000000000244e-01,5.128505611543629494e-02,2.827190419819545775e-01
3.500000000000000333e-01,5.414538794972572483e-02,2.893316131349222275e-01
3.599999999999999867e-01,5.707137222467296989e-02,2.958495994553155262e-01
3.699999999999999956e-01,6.006206472959406406e-02,3.022732933165387381e-01
3.800000000000000044e-01,6.311652415866786381e-02,3.086029936640297122e-01
3.900000000000000133e-01,6.623381225783038506e-02,3.148390057780815487e-01
4.000000000000000222e-01,6.941299392688653203e-02,3.209816410035282175e-01
4.100000000000000311e-01,7.265313644195128817e-02,3.270312180056977880e-01
4.199999999999999845e-01,7.595331048117406891e-02,3.329880612704309018e-01
4.299999999999999933e-01,7.931259021984170265e-02,3.388525009583948089e-01
4.400000000000000022e-01,8.273005333037826425e-02,3.446248729050832016e-01
4.500000000000000111e-01,8.620478098234518605e-02,3.503055186208163807e-01
4.600000000000000200e-01,8.973585784244125785e-02,3.558947852907412557e-01
4.700000000000000289e-01,9.332237207450254368e-02,3.613930257748311226e-01
4.799999999999999822e-01,9.696341533950245117e-02,3.668005986078857750e-01
4.899999999999999911e-01,1.006580829711678088e-01,3.721178676719873457e-01
5.000000000000000000e-01,1.044054740391228420e-01,3.773452019162690241e-01
5.100000000000000089e-01,1.082046904719410618e-01,3.824829769998305262e-01
5.200000000000000178e-01,1.120548381574372199e-01,3.875315734670547463e-01
5.300000000000000266e-01,1.159550270340568845e-01,3.924913765874384897e-01
5.400000000000000355e-01,1.199043710908764826e-01,3.973627763555921399e-01
5.500000000000000444e-01,1.239019883676032718e-01,4.021461674912401585e-01
5.600000000000000533e-01,1.279470009545753129e-01,4.068419494392205848e-01
5.700000000000000622e-01,1.320385349927615248e-01,4.114505263694854253e-01
5.799999999999999600e-01,1.361757206737616854e-01,4.159723071771002645e-01
5.899999999999999689e-01,1.403576922398064586e-01,4.204077054822448201e-01
5.999999999999999778e-01,1.445835881980034876e-01,4.247571391472391156e-01
6.099999999999999867e-01,1.488525512504194903e-01,4.290210301642957691e-01
6.199999999999999956e-01,1.531637274798092752e-01,4.331998065395636366e-01
6.300000000000000044e-01,1.575162674473363222e-01,4.372939001529987935e-01
6.400000000000000133e-01,1.619093262569058778e-01,4.413037466243866502e-01
6.500000000000000222e-01,1.663420635551649818e-01,4.452297853133419525e-01
6.600000000000000311e-01,1.708136435315024126e-01,4.490724593193088365e-01
6.700000000000000400e-01,1.753232349180487148e-01,4.528322154815607181e-01
6.800000000000000488e-01,1.798700109896762545e-01,4.565095043792003482e-01
6.900000000000000577e-01,1.844531495639991636e-01,4.601047803311598128e-01
7.000000000000000666e-01,1.890718330013732851e-01,4.636185013962005885e-01
7.099999999999999645e-01,1.937252482048962832e-01,4.670511293729133762e-01
7.199999999999999734e-01,1.984125868694704975e-01,4.704031290645799279e-01
7.299999999999999822e-01,2.031330451829893857e-01,4.736749686624511235e-01
7.399999999999999911e-01,2.078858232956838359e-01,4.768671215040747313e-01
7.500000000000000000e-01,2.126701262814761628e-01,4.799800637400240544e-01
7.600000000000000089e-01,2.174851641652154610e-01,4.830142742620686103e-01
7.700000000000000178e-01,2.223301519226774103e-01,4.859702347031738534e-01
7.800000000000000266e-01,2.272043094805644703e-01,4.888484294375013417e-01
7.900000000000000355e-01,2.321068617165057135e-01,4.916493455804086254e-01
8.000000000000000444e-01,2.370370384590569646e-01,4.943734729884493029e-01
8.100000000000000533e-01,2.419940744877006888e-01,4.970213042593729647e-01
8.200000000000000622e-01,2.469772095328460759e-01,4.995933347321253049e-01
8.300000000000000711e-01,2.519856882758289562e-01,5.020900624868480655e-01
8.399999999999999689e-01,2.570187603489118011e-01,5.045119883448788700e-01
8.499999999999999778e-01,2.620756805882942242e-01,5.068596146937276448e-01
8.599999999999999867e-01,2.671557084405459248e-01,5.091334470778026144e-01
8.699999999999999956e-01,2.722581079835909579e-01,5.113339948984630956e-01
8.800000000000000044e-01,2.773821485490953198e-01,5.134617693176746211e-01
8.900000000000000133e-01,2.825271047235941579e-01,5.155172832537116001e-01
9.000000000000000222e-01,2.876922563484918816e-01,5.175010513811580948e-01
9.100000000000000311e-01,2.928768885200621064e-01,5.194135901309071546e-01
9.200000000000000400e-01,2.980802915894477101e-01,5.212554176901611491e-01
9.300000000000000488e-01,3.033017611626606658e-01,5.230270540024319903e-01
9.400000000000000577e-01,3.085405981005823195e-01,5.247290207675406881e-01
9.500000000000000666e-01,3.137961085189631127e-01,5.263618414416173508e-01
9.599999999999999645e-01,3.190676037884226934e-01,5.279260412371017397e-01
9.699999999999999734e-01,3.243544005344500825e-01,5.294221471227426035e-01
9.799999999999999822e-01,3.296558206494538679e-01,5.308506877224919984e-01
9.899999999999999911e-01,3.349711913548298337e-01,5.322121917771596156e-01
1.000000000000000000e+00,3.402998446415095857e-01,5.335071916177651641e-01
1.010000000000000009e+00,3.456411177706650295e-01,5.347362214248015944e-01
1.020000000000000018e+00,3.509943534428828227e-01,5.358998161939054761e-01
1.030000000000000027e+00,3.563588997981642081e-01,5.369985117358566651e-01
1.040000000000000036e+00,3.617341104159250142e-01,5.380328446765781925e-01
1.050000000000000044e+00,3.671193443149959879e-01,5.390033524571367085e-01
1.060000000000000053e+00,3.725139659536223502e-01,5.399105733337417057e-01
1.070000000000000062e+00,3.779173452294640190e-01,5.407550463777466287e-01
1.080000000000000071e+00,3.833288574795956638e-01,5.415373114756477646e-01
1.090000000000000080e+00,3.887478834805066508e-01,5.422579093290850194e-01
1.100000000000000089e+00,3.941738094481009314e-01,5.429173814548414745e-01
1.110000000000000098e+00,3.996060270376970980e-01,5.435162701848434974e-01
1.120000000000000107e+00,4.050439333440286060e-01,5.440551186661609639e-01
1.130000000000000115e+00,4.104869308338180978e-01,5.445344699495027196e-01
1.140000000000000124e+00,4.159344270851605407e-01,5.449548677372411110e-01
1.150000000000000133e+00,4.213858350679488551e-01,5.453168582408344234e-01
1.159999999999999920e+00,4.268405732499687688e-01,5.456209876719765317e-01
1.169999999999999929e+00,4.322980655963901131e-01,5.458678021889030729e-01
1.179999999999999938e+00,4.377577415697653240e-01,5.460578478963913351e-01
1.189999999999999947e+00,4.432190361300307191e-01,5.461916708457601466e-01
1.199999999999999956e+00,4.486813897345057756e-01,5.462698170348700977e-01
1.209999999999999964e+00,4.541442483378934636e-01,5.462928324081234299e-01
1.219999999999999973e+00,4.596070633922799686e-01,5.462612628564639250e-01
1.229999999999999982e+00,4.650692918471350801e-01,5.461756542173772377e-01
1.239999999999999991e+00,4.705303961493118026e-01,5.460365522748906741e-01
1.250000000000000000e+00,4.759898442430465781e-01,5.458445027595730803e-01
1.260000000000000009e+00,4.814471095699593972e-01,5.456000513485348424e-01
1.270000000000000018e+00,4.869016710690532435e-01,5.453037436654284420e-01
1.280000000000000027e+00,4.923530129744278505e-01,5.449561245308515156e-01
1.290000000000000036e+00,4.978006245835038257e-01,5.445577384174284941e-01
1.300000000000000044e+00,5.032440009280263471e-01,5.441091314579401539e-01
1.310000000000000053e+00,5.086826424850141581e-01,5.436108490374446101e-01
1.320000000000000062e+00,5.141160551619936570e-01,5.430634357148054203e-01
1.330000000000000071e+00,5.195437502969986188e-01,5.424674352226913632e-01
1.340000000000000080e+00,5.249652446585705290e-01,5.418233904675764379e-01
1.350000000000000089e+00,5.303800604457582502e-01,5.411318435297399754e-01
1.360000000000000098e+00,5.357877252881182439e-01,5.403933356632663054e-01
1.370000000000000107e+00,5.411877722457146822e-01,5.396084072960454225e-01
1.380000000000000115e+00,5.465797398091188919e-01,5.387775980297723200e-01
1.390000000000000124e+00,5.519631718994102432e-01,5.379014466399472116e-01
1.400000000000000133e+00,5.573376178681750392e-01,5.369804910758758654e-01
1.409999999999999920e+00,5.627026324975075156e-01,5.360152684606689366e-01
